land_use,management,weight,rules_static,rules_dynamic,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
FESI,conv,1,,n,harvest_only,,,,0,0.9,,,,
FESI,conv,1,,n,fertilizer,Elem-N,,,28,0,,,,
FESI,conv,1,,p,fertilizer,Elem-P,,,7,0,,,,
FESI,conv,1,,n,harvest_only,,,,0,0.9,,,,
FESI,conv,1,,n,fertilizer,Elem-N,,,28,0,,,,
FESI,conv,1,,p,fertilizer,Elem-P,,,7,0,,,,
GRAP,conv,1,,,initial_crop,GRAP,2,700,900,,,,,
GRAP,conv,1,,n,fertilizer,Elem-N,,,70,0,,,,
GRAP,conv,1,,n,fertilizer,Elem-P,,,20,0,,,,
GRAP,conv,1,,>,harvest_only,,,,0,0.3,,,,
FRST,conv,1,,,initial_crop,FRST,3,1000,2640,,,,,
FRST,conv,1,,,skip,,,,,,,,,
FRSE,conv,1,,,initial_crop,FRSE,4,1000,2840,,,,,
FRSE,conv,1,,,skip,,,,,,,,,
FRSD,conv,1,,,initial_crop,FRSD,2,1000,2440,,,,,
OELK,conv,1,,<,fertilizer,Elem-N,,,60,0,,,,
OELK,conv,1,,p,fertilizer,Elem-P,,,60,0,,,,
OELK,conv,1,,<,plant,OELK,,,1236,0,0,0,0,
OELK,conv,1,,>,harvest_kill,,,,,,,,,
OELK,conv,1,,>,tillage,Fallplow,,,,,,,,
